,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS,600028.SS,601857.SS
Date,,,,,,,,,,,,
2021-01-04,3.158278465270996,3.809325695037842,4.03000020980835,4.190000057220459,4.050000190734863,4.199999809265137,3.990000009536743,4.139999866485596,4.039999961853027,4.150000095367432,110052440,96907113
2021-01-05,3.1504414081573486,3.800233840942383,4.019999980926514,4.179999828338623,4.03000020980835,4.179999828338623,3.9800000190734863,4.130000114440918,4.010000228881836,4.170000076293945,107596901,81851611
2021-01-06,3.2209737300872803,3.8638744354248047,4.110000133514404,4.25,4.110000133514404,4.260000228881836,4.039999961853027,4.199999809265137,4.050000190734863,4.199999809265137,183894490,138665156
2021-01-07,3.2288103103637695,3.8638744354248047,4.119999885559082,4.25,4.130000114440918,4.25,4.079999923706055,4.199999809265137,4.110000133514404,4.25,184736754,113085133
2021-01-08,3.2836689949035645,3.900240421295166,4.190000057220459,4.289999961853027,4.21999979019165,4.300000190734863,4.139999866485596,4.239999771118164,4.179999828338623,4.260000228881836,189007898,152421290
2021-01-11,3.1817891597747803,3.836599588394165,4.059999942779541,4.21999979019165,4.190000057220459,4.300000190734863,4.050000190734863,4.210000038146973,4.190000057220459,4.289999961853027,247239526,119641410
2021-01-12,3.252321481704712,3.918422222137451,4.150000095367432,4.309999942779541,4.150000095367432,4.309999942779541,4.050000190734863,4.199999809265137,4.059999942779541,4.210000038146973,146946494,143888797
2021-01-13,3.3071794509887695,3.9638803005218506,4.21999979019165,4.360000133514404,4.25,4.389999866485596,4.139999866485596,4.289999961853027,4.159999847412109,4.309999942779541,228990675,185290946
2021-01-14,3.315016746520996,3.93660569190979,4.230000019073486,4.329999923706055,4.28000020980835,4.389999866485596,4.179999828338623,4.309999942779541,4.210000038146973,4.329999923706055,191255566,128560607
2021-01-15,3.3228535652160645,3.891148567199707,4.239999771118164,4.28000020980835,4.260000228881836,4.369999885559082,4.210000038146973,4.269999980926514,4.230000019073486,4.349999904632568,160722724,146794503
2021-01-18,3.260158061981201,3.8638744354248047,4.159999847412109,4.25,4.210000038146973,4.28000020980835,4.139999866485596,4.239999771118164,4.199999809265137,4.25,201744129,90718352
2021-01-19,3.2679951190948486,3.8729658126831055,4.170000076293945,4.260000228881836,4.21999979019165,4.289999961853027,4.139999866485596,4.239999771118164,4.159999847412109,4.25,169801127,74803843
2021-01-20,3.260158061981201,3.882056951522827,4.159999847412109,4.269999980926514,4.230000019073486,4.309999942779541,4.130000114440918,4.230000019073486,4.199999809265137,4.269999980926514,109734687,81031637
2021-01-21,3.260158061981201,3.8638744354248047,4.159999847412109,4.25,4.190000057220459,4.28000020980835,4.130000114440918,4.239999771118164,4.150000095367432,4.25,105716400,71767521
2021-01-22,3.1896259784698486,3.800233840942383,4.070000171661377,4.179999828338623,4.150000095367432,4.25,4.059999942779541,4.179999828338623,4.150000095367432,4.25,131965495,98588245
2021-01-25,3.1504414081573486,3.7729594707489014,4.019999980926514,4.150000095367432,4.070000171661377,4.179999828338623,4.0,4.130000114440918,4.059999942779541,4.179999828338623,149375964,79340697
2021-01-26,3.158278465270996,3.782050848007202,4.03000020980835,4.159999847412109,4.039999961853027,4.179999828338623,4.010000228881836,4.130000114440918,4.010000228881836,4.139999866485596,94162125,60511883
2021-01-27,3.158278465270996,3.7729594707489014,4.03000020980835,4.150000095367432,4.070000171661377,4.179999828338623,4.019999980926514,4.139999866485596,4.03000020980835,4.159999847412109,99379006,72089555
2021-01-28,3.119093656539917,3.7547767162323,3.9800000190734863,4.130000114440918,4.03000020980835,4.139999866485596,3.9600000381469727,4.110000133514404,4.010000228881836,4.139999866485596,135121376,80810465
2021-01-29,3.095583200454712,3.7184104919433594,3.950000047683716,4.090000152587891,3.990000009536743,4.130000114440918,3.9200000762939453,4.079999923706055,3.9800000190734863,4.130000114440918,114203723,85750155
2021-02-01,3.095583200454712,3.7093191146850586,3.950000047683716,4.079999923706055,3.9600000381469727,4.099999904632568,3.9100000858306885,4.059999942779541,3.940000057220459,4.090000152587891,104645211,77991811
2021-02-02,3.0877459049224854,3.7184104919433594,3.940000057220459,4.090000152587891,3.990000009536743,4.119999885559082,3.930000066757202,4.079999923706055,3.9800000190734863,4.090000152587891,108528883,63664326
2021-02-03,3.1112565994262695,3.7184104919433594,3.9700000286102295,4.090000152587891,3.9700000286102295,4.119999885559082,3.940000057220459,4.079999923706055,3.9600000381469727,4.110000133514404,69622498,54129961
